Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 Ivy ,25.0,55000.0,Female,Finance,Manager,2019-12-01,B,name@company.org,098-765-4321
 Charlie ,50.0,70000.0,Female,Finance,Clerk,2019-12-01,B,missing@company.com, 
 Eve ,35.0,60000.0,Female,Sales,Director,2020-01-15,A,email@example.com,123-456-7890
 Charlie ,40.0,60000.0,Female,IT,Director,2018-04-05,D,email@example.com,555-555-5555
 Grace ,25.0,65000.0,Male,IT,Assistant,2020-02-20,A,name@company.org,Unknown
 Eve ,40.0,60000.0,Other,Sales,Manager,2020-02-20,C,name@company.org,123-456-7890
 Ivy ,25.0,60000.0,Male,IT,Manager,2020-02-20,A,missing@company.com,098-765-4321
 Grace ,35.0,60000.0,Male,Marketing,Director,2020-02-20,D,missing@company.com, 
 Bob ,35.0,55000.0,Male,HR,Analyst,2019-12-01,B,user@domain.com,123-456-7890
 David ,25.0,55000.0,Female,Finance,Assistant,2020-02-20,A,missing@company.com,Unknown
 Ivy ,40.0,70000.0,Female,HR,Assistant,2018-04-05,C,email@example.com,Unknown
 Bob ,35.0,50000.0,Female,Finance,Director,2019-12-01,C,name@company.org,098-765-4321
 Jack ,25.0,60000.0,Other,Marketing,Director,2020-02-20,B,missing@company.com,123-456-7890
 Ivy ,35.0,70000.0,Male,IT,Analyst,2020-01-15,A,missing@company.com,555-555-5555
 Jack ,35.0,60000.0,Other,Sales,Analyst,2019-03-25,D,missing@company.com,123-456-7890
 Eve ,25.0,50000.0,Female,Marketing,Manager,2019-03-25,B,missing@company.com,Unknown
 Bob ,35.0,60000.0,Other,HR,Assistant,2019-03-25,A,email@example.com,098-765-4321
 David ,35.0,60000.0,Male,Sales,Assistant,2019-12-01,F,user@domain.com,098-765-4321
 Grace ,50.0,50000.0,Male,IT,Director,2020-02-20,C,missing@company.com,555-555-5555
 Hannah ,35.0,70000.0,Female,Marketing,Manager,2019-12-01,D,missing@company.com,098-765-4321
 Charlie ,35.0,50000.0,Female,Sales,Assistant,2018-04-05,D,user@domain.com,098-765-4321
 Alice ,35.0,65000.0,Other,Marketing,Manager,2020-01-15,D,missing@company.com,098-765-4321
 David ,35.0,55000.0,Female,Marketing,Manager,2020-01-15,C,missing@company.com,098-765-4321
 Bob ,35.0,70000.0,Female,IT,Director,2019-03-25,A,missing@company.com,098-765-4321
 Hannah ,25.0,60000.0,Male,Finance,Manager,2019-03-25,B,missing@company.com,Unknown
 David ,35.0,65000.0,Female,Sales,Analyst,2019-03-25,A,user@domain.com,123-456-7890
 Bob ,35.0,70000.0,Female,IT,Analyst,2020-02-20,B,email@example.com, 
 Frank ,35.0,50000.0,Male,Marketing,Clerk,2018-04-05,D,missing@company.com,098-765-4321
 Frank ,35.0,50000.0,Male,IT,Director,2018-04-05,A,email@example.com, 
 Jack ,35.0,50000.0,Other,Finance,Clerk,2018-04-05,D,user@domain.com, 
 David ,50.0,50000.0,Female,Sales,Analyst,2018-04-05,F,user@domain.com,Unknown
 Frank ,25.0,60000.0,Male,Finance,Clerk,2019-03-25,D,missing@company.com,098-765-4321
 Bob ,35.0,65000.0,Other,HR,Director,2020-01-15,D,missing@company.com, 
 Jack ,50.0,60000.0,Other,Sales,Director,2019-03-25,B,name@company.org,098-765-4321
 Bob ,40.0,55000.0,Female,Finance,Manager,2018-04-05,F,user@domain.com,555-555-5555
 Jack ,25.0,60000.0,Female,Marketing,Assistant,2019-03-25,D,missing@company.com,555-555-5555
 David ,25.0,60000.0,Other,Sales,Manager,2018-04-05,D,email@example.com,555-555-5555
 Hannah ,40.0,60000.0,Male,Sales,Director,2019-12-01,F,missing@company.com, 
 Grace ,35.0,60000.0,Other,IT,Analyst,2020-01-15,F,email@example.com,555-555-5555
 Ivy ,50.0,55000.0,Female,Marketing,Analyst,2019-12-01,A,user@domain.com,Unknown
 Hannah ,35.0,55000.0,Male,HR,Manager,2020-02-20,B,user@domain.com,Unknown
 Eve ,35.0,60000.0,Male,Finance,Director,2019-03-25,F,email@example.com, 
 Bob ,35.0,50000.0,Other,IT,Analyst,2020-02-20,F,user@domain.com,098-765-4321
 Eve ,40.0,60000.0,Female,Finance,Director,2019-03-25,C,missing@company.com,123-456-7890
 Hannah ,25.0,70000.0,Other,HR,Analyst,2019-12-01,F,user@domain.com,098-765-4321
 Jack ,25.0,55000.0,Other,HR,Director,2018-04-05,B,missing@company.com,098-765-4321
 Ivy ,35.0,55000.0,Other,Sales,Clerk,2018-04-05,D,missing@company.com,098-765-4321
 Ivy ,25.0,60000.0,Male,HR,Director,2019-03-25,D,name@company.org,098-765-4321
 Alice ,25.0,65000.0,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
 Ivy ,35.0,70000.0,Female,Marketing,Manager,2019-12-01,D,user@domain.com,555-555-5555
 Grace ,50.0,70000.0,Female,Marketing,Clerk,2018-04-05,C,missing@company.com,098-765-4321
 Ivy ,50.0,55000.0,Other,Sales,Assistant,2019-12-01,F,missing@company.com,Unknown
 Hannah ,35.0,50000.0,Other,Finance,Manager,2020-02-20,D,email@example.com, 
 Alice ,40.0,65000.0,Other,Finance,Assistant,2019-12-01,A,email@example.com, 
 Hannah ,25.0,70000.0,Female,HR,Analyst,2020-01-15,D,email@example.com,Unknown
 Hannah ,25.0,55000.0,Male,Finance,Assistant,2020-01-15,F,missing@company.com,098-765-4321
 Charlie ,40.0,70000.0,Male,IT,Director,2020-01-15,D,email@example.com,123-456-7890
 Alice ,50.0,65000.0,Other,HR,Assistant,2019-03-25,C,email@example.com,555-555-5555
 Hannah ,35.0,65000.0,Other,IT,Manager,2019-03-25,B,name@company.org, 
 Charlie ,35.0,60000.0,Other,Sales,Manager,2019-03-25,B,email@example.com,555-555-5555
 Charlie ,35.0,60000.0,Other,Marketing,Assistant,2019-12-01,F,user@domain.com,123-456-7890
 Alice ,50.0,60000.0,Female,Sales,Manager,2019-03-25,B,missing@company.com, 
 Eve ,50.0,55000.0,Male,Marketing,Manager,2020-02-20,B,missing@company.com,555-555-5555
 Jack ,40.0,65000.0,Other,Sales,Assistant,2020-01-15,A,name@company.org,123-456-7890
 Grace ,25.0,60000.0,Female,Finance,Clerk,2019-12-01,F,missing@company.com,555-555-5555
 Jack ,40.0,60000.0,Other,IT,Clerk,2020-01-15,F,missing@company.com,098-765-4321
 Ivy ,40.0,70000.0,Other,Marketing,Analyst,2019-03-25,B,user@domain.com,123-456-7890
 Grace ,50.0,70000.0,Male,HR,Manager,2019-12-01,B,email@example.com,555-555-5555
 Ivy ,35.0,60000.0,Other,IT,Assistant,2018-04-05,B,user@domain.com,098-765-4321
 Hannah ,35.0,70000.0,Male,HR,Manager,2020-02-20,C,email@example.com,098-765-4321
 Bob ,25.0,65000.0,Male,IT,Director,2019-03-25,D,email@example.com,123-456-7890
 Alice ,50.0,50000.0,Male,IT,Manager,2019-03-25,C,missing@company.com,Unknown
 Grace ,35.0,65000.0,Female,Sales,Manager,2020-02-20,F,email@example.com, 
 Grace ,35.0,60000.0,Female,Marketing,Clerk,2020-02-20,A,name@company.org,123-456-7890
 Hannah ,35.0,60000.0,Male,Marketing,Assistant,2018-04-05,D,name@company.org,098-765-4321
 Eve ,50.0,65000.0,Other,IT,Manager,2019-03-25,A,name@company.org,098-765-4321
 Charlie ,35.0,70000.0,Male,Finance,Clerk,2019-03-25,F,missing@company.com,123-456-7890
 Hannah ,25.0,70000.0,Other,Finance,Analyst,2020-01-15,F,user@domain.com,Unknown
 Frank ,35.0,60000.0,Male,HR,Clerk,2019-12-01,A,missing@company.com, 
 Charlie ,50.0,60000.0,Other,HR,Clerk,2019-12-01,A,email@example.com,555-555-5555
 Alice ,50.0,55000.0,Female,Sales,Clerk,2020-01-15,A,missing@company.com,123-456-7890
 Charlie ,35.0,60000.0,Other,IT,Manager,2019-12-01,F,user@domain.com, 
 Eve ,35.0,70000.0,Male,HR,Manager,2020-02-20,B,user@domain.com, 
 Charlie ,25.0,65000.0,Female,HR,Analyst,2019-12-01,A,missing@company.com,098-765-4321
 Alice ,40.0,70000.0,Other,IT,Director,2019-12-01,D,name@company.org,555-555-5555
 Eve ,35.0,65000.0,Other,Sales,Director,2020-01-15,F,name@company.org,123-456-7890
 Jack ,35.0,60000.0,Other,HR,Director,2018-04-05,C,user@domain.com,098-765-4321
 Grace ,35.0,60000.0,Other,Sales,Analyst,2019-12-01,C,missing@company.com,098-765-4321
 Grace ,35.0,70000.0,Other,Marketing,Director,2019-12-01,D,missing@company.com,Unknown
 Ivy ,50.0,65000.0,Female,Sales,Director,2018-04-05,B,email@example.com, 
 Jack ,35.0,60000.0,Female,Finance,Clerk,2020-01-15,A,name@company.org,123-456-7890
 Jack ,35.0,55000.0,Female,Finance,Manager,2018-04-05,F,user@domain.com,123-456-7890
 Charlie ,25.0,65000.0,Female,Sales,Manager,2020-01-15,A,missing@company.com,123-456-7890
 Grace ,35.0,60000.0,Male,Finance,Clerk,2020-02-20,F,name@company.org,098-765-4321
 Alice ,35.0,55000.0,Female,Marketing,Clerk,2020-01-15,C,email@example.com,Unknown
 David ,40.0,55000.0,Other,IT,Clerk,2020-02-20,A,missing@company.com,555-555-5555
 David ,25.0,50000.0,Other,Finance,Manager,2020-02-20,D,user@domain.com,098-765-4321
 Eve ,25.0,70000.0,Female,Finance,Director,2020-01-15,B,name@company.org,555-555-5555
 Grace ,35.0,65000.0,Other,Sales,Clerk,2019-03-25,D,missing@company.com,Unknown
 Grace ,35.0,55000.0,Female,Marketing,Analyst,2020-01-15,B,email@example.com, 
 David ,40.0,50000.0,Other,IT,Clerk,2019-12-01,A,email@example.com,123-456-7890
 Grace ,50.0,60000.0,Male,Sales,Assistant,2019-12-01,A,name@company.org,555-555-5555
 Charlie ,25.0,60000.0,Male,Sales,Clerk,2019-03-25,B,missing@company.com,098-765-4321
 Frank ,40.0,65000.0,Female,Marketing,Manager,2020-02-20,C,email@example.com,555-555-5555
 Bob ,35.0,55000.0,Female,IT,Clerk,2019-03-25,F,user@domain.com, 
 Jack ,35.0,70000.0,Female,Marketing,Assistant,2019-12-01,D,email@example.com,123-456-7890
 Ivy ,25.0,50000.0,Other,IT,Analyst,2019-03-25,D,missing@company.com,555-555-5555
 Eve ,35.0,55000.0,Female,Marketing,Director,2020-01-15,D,missing@company.com, 
 Frank ,35.0,70000.0,Male,Sales,Clerk,2019-03-25,A,missing@company.com,098-765-4321
 David ,35.0,55000.0,Other,Sales,Assistant,2020-02-20,D,name@company.org,Unknown
 Jack ,50.0,65000.0,Female,HR,Assistant,2020-01-15,F,missing@company.com,098-765-4321
 Grace ,50.0,65000.0,Other,Finance,Analyst,2018-04-05,F,email@example.com,123-456-7890
 Ivy ,35.0,65000.0,Other,Marketing,Manager,2019-12-01,B,email@example.com,098-765-4321
 Grace ,35.0,60000.0,Female,HR,Clerk,2019-12-01,A,missing@company.com,098-765-4321
 Alice ,35.0,60000.0,Other,Finance,Assistant,2019-03-25,F,missing@company.com,098-765-4321
 Alice ,40.0,50000.0,Male,Marketing,Analyst,2020-01-15,C,user@domain.com,098-765-4321
 Ivy ,50.0,65000.0,Male,IT,Director,2018-04-05,A,missing@company.com,123-456-7890
 Ivy ,40.0,70000.0,Other,Finance,Assistant,2020-01-15,A,user@domain.com, 
 David ,50.0,55000.0,Female,Sales,Analyst,2019-12-01,F,email@example.com,555-555-5555
 Ivy ,35.0,60000.0,Other,HR,Manager,2020-01-15,C,user@domain.com,Unknown
 Charlie ,35.0,70000.0,Male,Finance,Manager,2018-04-05,B,user@domain.com,555-555-5555
 Grace ,25.0,60000.0,Other,Finance,Assistant,2019-03-25,F,name@company.org,555-555-5555
 Frank ,40.0,60000.0,Other,Sales,Assistant,2020-02-20,C,missing@company.com,Unknown
 Hannah ,35.0,70000.0,Male,Marketing,Clerk,2020-01-15,A,user@domain.com,123-456-7890
 Ivy ,40.0,60000.0,Other,IT,Analyst,2020-02-20,C,email@example.com,Unknown
 Eve ,35.0,65000.0,Other,Sales,Assistant,2019-12-01,A,missing@company.com,123-456-7890
 Alice ,35.0,50000.0,Female,IT,Clerk,2019-03-25,F,user@domain.com,555-555-5555
 Charlie ,40.0,55000.0,Female,Marketing,Clerk,2019-03-25,F,missing@company.com,123-456-7890
 Jack ,35.0,50000.0,Male,Finance,Assistant,2020-01-15,D,name@company.org, 
 Hannah ,35.0,55000.0,Male,IT,Manager,2019-03-25,D,email@example.com,Unknown
 Frank ,35.0,55000.0,Male,HR,Analyst,2020-01-15,D,name@company.org, 
 Hannah ,25.0,50000.0,Female,HR,Analyst,2020-01-15,F,missing@company.com,555-555-5555
 Ivy ,40.0,70000.0,Male,Sales,Manager,2020-02-20,B,user@domain.com,Unknown
 David ,35.0,55000.0,Male,Marketing,Assistant,2019-03-25,F,user@domain.com,555-555-5555
 Alice ,35.0,50000.0,Male,Sales,Analyst,2020-01-15,C,missing@company.com, 
 Alice ,35.0,55000.0,Female,Sales,Assistant,2020-02-20,F,user@domain.com,555-555-5555
 Jack ,35.0,60000.0,Other,Sales,Assistant,2018-04-05,F,email@example.com,Unknown
 David ,35.0,70000.0,Male,HR,Clerk,2020-02-20,A,missing@company.com,Unknown
 Grace ,35.0,65000.0,Other,HR,Manager,2020-02-20,A,name@company.org,555-555-5555
 Bob ,35.0,55000.0,Male,Sales,Assistant,2020-01-15,A,missing@company.com,Unknown
 Charlie ,40.0,60000.0,Other,HR,Director,2019-12-01,F,user@domain.com,Unknown
 Alice ,40.0,65000.0,Female,Marketing,Manager,2019-12-01,B,name@company.org,555-555-5555
 Eve ,50.0,65000.0,Female,Sales,Analyst,2019-12-01,C,missing@company.com, 
 Alice ,50.0,55000.0,Male,HR,Clerk,2020-02-20,C,missing@company.com,Unknown
 Hannah ,25.0,50000.0,Other,IT,Analyst,2020-01-15,B,name@company.org,Unknown
 Alice ,35.0,55000.0,Female,Sales,Analyst,2019-03-25,B,name@company.org,Unknown
 Alice ,40.0,60000.0,Male,Sales,Manager,2020-02-20,C,name@company.org,Unknown
 Bob ,35.0,65000.0,Male,Marketing,Analyst,2020-02-20,D,email@example.com,555-555-5555
 Bob ,35.0,55000.0,Female,Finance,Assistant,2020-01-15,A,missing@company.com, 
 Frank ,35.0,50000.0,Female,Finance,Analyst,2018-04-05,A,name@company.org, 
 Grace ,35.0,55000.0,Male,Marketing,Clerk,2020-02-20,C,missing@company.com,123-456-7890
 Eve ,50.0,70000.0,Other,Marketing,Clerk,2018-04-05,B,name@company.org,Unknown
 Alice ,35.0,50000.0,Other,Marketing,Director,2018-04-05,D,missing@company.com,Unknown
 Alice ,25.0,60000.0,Other,Finance,Clerk,2019-12-01,C,missing@company.com,123-456-7890
 Charlie ,35.0,65000.0,Male,Marketing,Analyst,2020-01-15,A,missing@company.com, 
 Bob ,50.0,55000.0,Female,HR,Clerk,2018-04-05,F,user@domain.com,098-765-4321
 Eve ,35.0,50000.0,Male,Sales,Manager,2020-01-15,B,name@company.org,098-765-4321
 Jack ,50.0,70000.0,Female,Sales,Clerk,2019-12-01,F,user@domain.com, 
 Frank ,25.0,50000.0,Other,IT,Assistant,2020-01-15,C,missing@company.com,Unknown
 Grace ,35.0,60000.0,Other,IT,Manager,2020-02-20,A,user@domain.com,098-765-4321
 David ,35.0,70000.0,Female,Sales,Director,2018-04-05,D,missing@company.com,555-555-5555
 Grace ,25.0,60000.0,Female,HR,Assistant,2020-01-15,F,missing@company.com,555-555-5555
 Hannah ,50.0,65000.0,Male,Finance,Analyst,2019-03-25,D,missing@company.com,123-456-7890
 Alice ,25.0,60000.0,Other,Finance,Analyst,2020-01-15,A,user@domain.com, 
 Frank ,35.0,55000.0,Male,HR,Analyst,2018-04-05,F,name@company.org, 
 Hannah ,40.0,50000.0,Male,Finance,Assistant,2019-12-01,D,user@domain.com,098-765-4321
 Eve ,25.0,60000.0,Male,Marketing,Assistant,2019-12-01,D,name@company.org,Unknown
 David ,25.0,70000.0,Other,Sales,Assistant,2018-04-05,F,name@company.org, 
 Bob ,50.0,70000.0,Male,Sales,Manager,2020-02-20,A,missing@company.com,098-765-4321
 Frank ,50.0,50000.0,Male,HR,Manager,2020-02-20,D,user@domain.com,098-765-4321
 Frank ,35.0,60000.0,Male,Finance,Analyst,2019-12-01,C,name@company.org, 
 Alice ,50.0,50000.0,Male,IT,Clerk,2019-12-01,F,missing@company.com,098-765-4321
 Ivy ,35.0,55000.0,Male,IT,Analyst,2018-04-05,B,name@company.org,123-456-7890
 Frank ,35.0,60000.0,Male,Finance,Director,2020-02-20,B,missing@company.com,123-456-7890
 Charlie ,35.0,70000.0,Other,IT,Manager,2019-12-01,A,user@domain.com, 
 David ,40.0,55000.0,Male,HR,Assistant,2020-02-20,C,user@domain.com,Unknown
 David ,40.0,60000.0,Female,HR,Manager,2019-12-01,D,user@domain.com,123-456-7890
 Charlie ,35.0,55000.0,Male,Finance,Assistant,2020-01-15,B,name@company.org,123-456-7890
 Jack ,40.0,60000.0,Male,IT,Director,2019-03-25,A,email@example.com, 
 Charlie ,35.0,70000.0,Other,HR,Director,2020-01-15,C,name@company.org,555-555-5555
 Charlie ,50.0,50000.0,Other,HR,Manager,2019-12-01,C,name@company.org,098-765-4321
 David ,35.0,50000.0,Female,Marketing,Assistant,2019-03-25,A,missing@company.com,123-456-7890
 Grace ,40.0,60000.0,Female,Marketing,Director,2019-03-25,A,missing@company.com,555-555-5555
 David ,35.0,65000.0,Other,HR,Analyst,2019-12-01,D,name@company.org,Unknown
 Ivy ,35.0,60000.0,Other,Finance,Analyst,2019-12-01,A,missing@company.com,555-555-5555
 Alice ,25.0,60000.0,Male,Sales,Assistant,2020-02-20,D,missing@company.com, 
 Hannah ,50.0,65000.0,Other,Sales,Manager,2019-12-01,D,name@company.org,Unknown
 Grace ,35.0,55000.0,Female,HR,Director,2018-04-05,F,email@example.com,Unknown
 Bob ,25.0,60000.0,Male,HR,Manager,2019-12-01,C,missing@company.com,555-555-5555
 Hannah ,40.0,55000.0,Female,HR,Analyst,2018-04-05,C,user@domain.com, 
 Alice ,25.0,70000.0,Male,Finance,Director,2019-12-01,C,name@company.org,123-456-7890
 Ivy ,50.0,60000.0,Other,Marketing,Manager,2020-02-20,F,name@company.org,555-555-5555
 Ivy ,35.0,65000.0,Female,HR,Clerk,2018-04-05,D,missing@company.com,123-456-7890
 Bob ,35.0,70000.0,Male,HR,Assistant,2020-01-15,D,missing@company.com,555-555-5555
 Grace ,40.0,50000.0,Male,IT,Assistant,2018-04-05,A,missing@company.com,123-456-7890
 Jack ,35.0,65000.0,Other,Finance,Clerk,2020-02-20,F,missing@company.com,555-555-5555
 Charlie ,50.0,60000.0,Other,HR,Analyst,2018-04-05,A,user@domain.com,Unknown
 Grace ,40.0,50000.0,Other,IT,Director,2019-12-01,F,missing@company.com,098-765-4321
 Jack ,35.0,50000.0,Female,Sales,Assistant,2019-12-01,A,missing@company.com,Unknown
 Ivy ,25.0,60000.0,Male,HR,Clerk,2020-02-20,B,missing@company.com,123-456-7890
 David ,50.0,60000.0,Other,HR,Clerk,2019-03-25,C,missing@company.com, 
 Alice ,35.0,50000.0,Female,IT,Analyst,2019-12-01,C,email@example.com,Unknown
 Bob ,35.0,65000.0,Female,Finance,Analyst,2020-01-15,D,email@example.com,098-765-4321
 Alice ,35.0,70000.0,Female,HR,Manager,2020-02-20,B,name@company.org,123-456-7890
 Eve ,40.0,50000.0,Other,Sales,Assistant,2018-04-05,C,name@company.org,Unknown
 Eve ,25.0,65000.0,Other,HR,Manager,2018-04-05,D,missing@company.com,555-555-5555
 Grace ,40.0,55000.0,Male,Sales,Clerk,2020-01-15,B,missing@company.com, 
 Ivy ,35.0,65000.0,Male,Marketing,Director,2019-12-01,C,user@domain.com,123-456-7890
 Ivy ,40.0,70000.0,Other,Marketing,Director,2020-02-20,A,user@domain.com,Unknown
 Charlie ,25.0,65000.0,Female,Sales,Analyst,2020-01-15,F,email@example.com,123-456-7890
 Charlie ,35.0,60000.0,Female,Finance,Director,2019-12-01,B,name@company.org,555-555-5555
 Charlie ,40.0,70000.0,Female,HR,Director,2020-02-20,D,email@example.com,098-765-4321
 David ,35.0,60000.0,Male,HR,Director,2018-04-05,B,email@example.com,Unknown
 Hannah ,50.0,55000.0,Female,Marketing,Clerk,2020-02-20,D,name@company.org,123-456-7890
 Frank ,35.0,60000.0,Male,Sales,Director,2019-03-25,B,user@domain.com,123-456-7890
 Hannah ,50.0,60000.0,Male,HR,Director,2020-02-20,D,name@company.org,123-456-7890
 Alice ,35.0,65000.0,Female,HR,Director,2019-03-25,C,missing@company.com,098-765-4321
 Hannah ,35.0,70000.0,Female,Finance,Manager,2020-02-20,A,missing@company.com,123-456-7890
 David ,50.0,55000.0,Other,IT,Clerk,2019-03-25,C,missing@company.com, 
 Alice ,35.0,60000.0,Other,Marketing,Analyst,2018-04-05,A,missing@company.com, 
 Hannah ,25.0,60000.0,Female,Marketing,Manager,2019-12-01,C,user@domain.com,123-456-7890
 David ,35.0,60000.0,Male,IT,Assistant,2019-03-25,C,user@domain.com, 
 Frank ,40.0,55000.0,Male,HR,Clerk,2019-03-25,B,missing@company.com,Unknown
 Hannah ,35.0,65000.0,Male,Finance,Clerk,2018-04-05,F,email@example.com, 
 David ,35.0,55000.0,Male,Finance,Assistant,2019-03-25,D,missing@company.com,123-456-7890
 Charlie ,35.0,60000.0,Male,Marketing,Assistant,2020-01-15,D,missing@company.com,555-555-5555
 Ivy ,40.0,50000.0,Other,Finance,Assistant,2018-04-05,D,email@example.com,Unknown
 Charlie ,40.0,60000.0,Female,IT,Analyst,2020-01-15,A,name@company.org,098-765-4321
 Ivy ,35.0,55000.0,Other,HR,Director,2018-04-05,D,name@company.org,123-456-7890
 Bob ,35.0,60000.0,Male,IT,Clerk,2019-03-25,D,user@domain.com,098-765-4321
 Bob ,35.0,65000.0,Male,Sales,Director,2020-01-15,B,missing@company.com,555-555-5555
 Bob ,25.0,60000.0,Male,Marketing,Director,2019-03-25,C,user@domain.com,098-765-4321
 Frank ,35.0,65000.0,Male,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
 Charlie ,35.0,55000.0,Female,Sales,Analyst,2019-03-25,F,email@example.com,123-456-7890
 Ivy ,50.0,65000.0,Male,Finance,Manager,2020-01-15,D,user@domain.com,555-555-5555
 David ,35.0,70000.0,Female,HR,Analyst,2020-01-15,A,missing@company.com,123-456-7890
 Alice ,50.0,70000.0,Male,HR,Director,2019-03-25,A,missing@company.com,555-555-5555
 David ,50.0,70000.0,Female,HR,Analyst,2020-02-20,A,email@example.com,555-555-5555
 Alice ,40.0,50000.0,Other,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
 Eve ,25.0,55000.0,Male,Sales,Manager,2018-04-05,B,missing@company.com, 
 David ,35.0,60000.0,Female,HR,Assistant,2019-03-25,F,missing@company.com,555-555-5555
 Hannah ,35.0,60000.0,Other,Sales,Manager,2020-02-20,D,missing@company.com,123-456-7890
 Hannah ,35.0,50000.0,Male,Finance,Director,2020-01-15,B,user@domain.com, 
 Grace ,35.0,65000.0,Male,Sales,Manager,2019-12-01,B,name@company.org,555-555-5555
 Charlie ,35.0,50000.0,Male,Finance,Manager,2019-12-01,D,user@domain.com, 
 Alice ,35.0,65000.0,Female,Finance,Manager,2019-03-25,D,name@company.org,Unknown
 Alice ,35.0,65000.0,Female,Marketing,Analyst,2020-02-20,B,missing@company.com,Unknown
 Charlie ,25.0,60000.0,Other,Finance,Analyst,2020-02-20,B,missing@company.com, 
 Frank ,50.0,60000.0,Female,Finance,Director,2018-04-05,B,user@domain.com,555-555-5555
 Grace ,35.0,70000.0,Female,IT,Manager,2020-01-15,D,missing@company.com,123-456-7890
 Frank ,40.0,65000.0,Male,HR,Clerk,2020-02-20,B,name@company.org,098-765-4321
 Frank ,35.0,60000.0,Male,Marketing,Director,2019-12-01,A,user@domain.com,123-456-7890
 Frank ,35.0,60000.0,Male,Marketing,Manager,2020-01-15,D,user@domain.com,098-765-4321
 Charlie ,25.0,70000.0,Male,Marketing,Manager,2020-01-15,A,missing@company.com,098-765-4321
 Frank ,35.0,65000.0,Male,IT,Analyst,2019-03-25,C,user@domain.com,555-555-5555
 Hannah ,35.0,65000.0,Male,Finance,Director,2020-02-20,D,missing@company.com, 
 Bob ,40.0,50000.0,Male,HR,Manager,2019-03-25,C,missing@company.com,123-456-7890
 Eve ,25.0,50000.0,Other,Sales,Manager,2020-02-20,B,missing@company.com, 
 Alice ,25.0,60000.0,Other,Finance,Director,2018-04-05,B,name@company.org,Unknown
 Alice ,25.0,70000.0,Other,IT,Clerk,2019-03-25,F,missing@company.com,555-555-5555
 Eve ,25.0,65000.0,Other,Finance,Director,2019-03-25,B,missing@company.com,555-555-5555
 Charlie ,25.0,60000.0,Male,Finance,Director,2019-12-01,C,email@example.com,Unknown
